equip,mode,start,end,duration_min,n_points,peak_mae,peak_ratio,mean_mae,mean_ratio,dist_to_failure_days,category
B-0302C,mult,2024-02-01 15:41:00,2024-02-01 17:34:00,113.0,114,0.0704197,1.594,0.04327359666935484,0.979,210.35,far
B-0302C,mult,2024-02-01 18:23:00,2024-02-01 19:39:00,76.0,77,0.06037665,1.366,0.02961419675862069,0.67,210.23,far
B-0302C,mult,2024-02-01 22:04:00,2024-02-01 23:34:00,90.0,91,0.061335523,1.388,0.03407557356435644,0.771,210.08,far
B-0302C,mult,2024-02-02 04:52:00,2024-02-02 05:57:00,65.0,66,0.08474537,1.918,0.03762566282894736,0.852,209.8,far
B-0302C,mult,2024-02-02 17:50:00,2024-02-02 19:39:00,109.0,110,0.070337996,1.592,0.04476489173333333,1.013,209.26,far
B-0302C,mult,2024-02-02 22:41:00,2024-02-03 00:12:00,91.0,92,0.05089163,1.152,0.03175923941176471,0.719,209.05,far
B-0302C,mult,2024-02-03 01:36:00,2024-02-03 04:22:00,166.0,167,0.07087682,1.604,0.044420077740112994,1.005,208.93,far
B-0302C,mult,2024-02-03 04:40:00,2024-02-03 05:35:00,55.0,56,0.047244873,1.069,0.03250003293939394,0.736,208.81,far
B-0302C,mult,2024-02-04 15:20:00,2024-02-04 18:00:00,160.0,161,0.06857147,1.552,0.04124875449122807,0.934,207.36,far
B-0302C,mult,2024-02-04 23:11:00,2024-02-05 00:22:00,71.0,72,0.056891005,1.288,0.03085231345121951,0.698,207.03,far
B-0302C,mult,2024-02-05 10:52:00,2024-02-05 12:00:00,68.0,69,0.054118063,1.225,0.036716823987341766,0.831,206.55,far
B-0302C,mult,2024-02-06 09:41:00,2024-02-06 11:02:00,81.0,82,0.056806963,1.286,0.03434011938586956,0.777,205.6,far
B-0302C,mult,2024-02-06 17:59:00,2024-02-06 19:32:00,93.0,94,0.055513836,1.256,0.032925149201923076,0.745,205.25,far
B-0302C,mult,2024-02-06 22:14:00,2024-02-07 00:05:00,111.0,112,0.0680469,1.54,0.03785174886885246,0.857,205.07,far
B-0302C,mult,2024-02-07 00:25:00,2024-02-07 02:01:00,96.0,97,0.053071193,1.201,0.03309861563551402,0.749,204.98,far
B-0302C,mult,2024-02-07 12:47:00,2024-02-07 15:03:00,136.0,137,0.076440565,1.73,0.03888136431632653,0.88,204.47,far
B-0302C,mult,2024-02-07 16:41:00,2024-02-07 17:57:00,76.0,77,0.053009905,1.2,0.03343258249425287,0.757,204.3,far
B-0302C,mult,2024-02-08 07:49:00,2024-02-08 09:43:00,114.0,115,0.10530737,2.383,0.049394574696000004,1.118,203.67,far
B-0302C,mult,2024-02-08 17:36:00,2024-02-08 17:40:00,4.0,5,0.052395634,1.186,0.029812531466666663,0.675,203.27,far
B-0302C,mult,2024-02-08 17:56:00,2024-02-08 19:45:00,109.0,110,0.069619745,1.576,0.04228528686666667,0.957,203.25,far
B-0302C,mult,2024-02-10 12:51:00,2024-02-10 14:18:00,87.0,88,0.05793183,1.311,0.02948785312244898,0.667,201.46,far
