equip,mode,start,end,duration_min,n_points,peak_mae,peak_ratio,mean_mae,mean_ratio,dist_to_failure_days,category,trig_class,base_before,base_after,peak_dev,max_step_in_ep,typical_step,level_shift,frac_off_like,shutdown_after
B-0302C,mult,2024-02-01 15:41:00,2024-02-01 17:34:00,113.0,114,0.0704197,1.594,0.0432735966693548,0.979,210.35,far,sustentado_sem_causa,2.7729,3.0223,2.1416,1.7827,0.1603,0.2494,0.0,False
B-0302C,mult,2024-02-01 18:23:00,2024-02-01 19:39:00,76.0,77,0.06037665,1.366,0.0296141967586206,0.67,210.23,far,mudanca_regime,4.2614,2.8417,1.7949,0.7411,0.1603,1.4196,0.0,False
B-0302C,mult,2024-02-01 22:04:00,2024-02-01 23:34:00,90.0,91,0.061335523,1.388,0.0340755735643564,0.771,210.08,far,mudanca_regime,2.8312,5.0158,2.7366,0.8547,0.1603,2.1846,0.0,False
B-0302C,mult,2024-02-02 04:52:00,2024-02-02 05:57:00,65.0,66,0.08474537,1.918,0.0376256628289473,0.852,209.8,far,sustentado_sem_causa,5.0399,5.4343,0.6866,1.9492,0.1603,0.3945,0.0,False
B-0302C,mult,2024-02-02 17:50:00,2024-02-02 19:39:00,109.0,110,0.070337996,1.592,0.0447648917333333,1.013,209.26,far,mudanca_regime,4.9072,2.7871,2.5263,1.2027,0.1603,2.1201,0.0,False
B-0302C,mult,2024-02-02 22:41:00,2024-02-03 00:12:00,91.0,92,0.05089163,1.152,0.0317592394117647,0.719,209.05,far,mudanca_regime,2.7723,4.7067,2.6123,1.5808,0.1603,1.9344,0.0,False
B-0302C,mult,2024-02-03 01:36:00,2024-02-03 04:22:00,166.0,167,0.07087682,1.604,0.0444200777401129,1.005,208.93,far,sustentado_sem_causa,4.8984,4.5554,2.6639,0.8466,0.1603,0.343,0.0,False
B-0302C,mult,2024-02-03 04:40:00,2024-02-03 05:35:00,55.0,56,0.047244873,1.069,0.0325000329393939,0.736,208.81,far,mudanca_regime,3.0034,4.5169,2.0347,0.8466,0.1603,1.5135,0.0,False
B-0302C,mult,2024-02-04 15:20:00,2024-02-04 18:00:00,160.0,161,0.06857147,1.552,0.041248754491228,0.934,207.36,far,sustentado_sem_causa,4.7473,4.8131,2.5068,1.4347,0.1603,0.0658,0.0,False
B-0302C,mult,2024-02-04 23:11:00,2024-02-05 00:22:00,71.0,72,0.056891005,1.288,0.0308523134512195,0.698,207.03,far,mudanca_regime,4.5775,2.718,2.337,1.105,0.1603,1.8595,0.0,False
B-0302C,mult,2024-02-05 10:52:00,2024-02-05 12:00:00,68.0,69,0.054118063,1.225,0.0367168239873417,0.831,206.55,far,mudanca_regime,2.7589,4.8907,2.5341,0.8974,0.1603,2.1318,0.0,False
B-0302C,mult,2024-02-06 09:41:00,2024-02-06 11:02:00,81.0,82,0.056806963,1.286,0.0343401193858695,0.777,205.6,far,mudanca_regime,2.7785,5.082,3.0212,0.8878,0.1603,2.3035,0.0,False
B-0302C,mult,2024-02-06 17:59:00,2024-02-06 19:32:00,93.0,94,0.055513836,1.256,0.032925149201923,0.745,205.25,far,mudanca_regime,5.0054,2.9535,2.5573,0.7833,0.1603,2.0519,0.0,False
B-0302C,mult,2024-02-06 22:14:00,2024-02-07 00:05:00,111.0,112,0.0680469,1.54,0.0378517488688524,0.857,205.07,far,mudanca_regime,2.9946,5.2494,0.5893,2.5432,0.1603,2.2548,0.0,False
B-0302C,mult,2024-02-07 00:25:00,2024-02-07 02:01:00,96.0,97,0.053071193,1.201,0.033098615635514,0.749,204.98,far,mudanca_regime,2.8438,5.2791,2.9559,1.7035,0.1603,2.4353,0.0,False
B-0302C,mult,2024-02-07 12:47:00,2024-02-07 15:03:00,136.0,137,0.076440565,1.73,0.0388813643163265,0.88,204.47,far,mudanca_regime,6.4831,4.0118,4.0594,1.3635,0.1603,2.4713,0.0,False
B-0302C,mult,2024-02-07 16:41:00,2024-02-07 17:57:00,76.0,77,0.053009905,1.2,0.0334325824942528,0.757,204.3,far,mudanca_regime,6.2014,2.935,3.8265,0.757,0.1603,3.2664,0.0,False
B-0302C,mult,2024-02-08 07:49:00,2024-02-08 09:43:00,114.0,115,0.10530737,2.383,0.049394574696,1.118,203.67,far,mudanca_regime,5.2276,6.8325,2.9055,3.811,0.1603,1.6049,0.0,False
B-0302C,mult,2024-02-08 17:36:00,2024-02-08 17:40:00,4.0,5,0.052395634,1.186,0.0298125314666666,0.675,203.27,far,mudanca_regime,5.3965,2.8526,0.1224,3.486,0.1603,2.544,0.0,False
B-0302C,mult,2024-02-08 17:56:00,2024-02-08 19:45:00,109.0,110,0.069619745,1.576,0.0422852868666666,0.957,203.25,far,mudanca_regime,5.377,2.8978,3.0137,1.0478,0.1603,2.4791,0.0,False
B-0302C,mult,2024-02-10 12:51:00,2024-02-10 14:18:00,87.0,88,0.05793183,1.311,0.0294878531224489,0.667,201.46,far,mudanca_regime,4.5641,3.0235,2.0745,1.2332,0.1603,1.5406,0.0,False
B-0302C,mult,2024-02-11 22:17:00,2024-02-11 23:39:00,82.0,83,0.0728605,1.649,0.0373162531397849,0.845,200.07,far,mudanca_regime,5.2706,2.9906,2.8164,1.2739,0.1603,2.28,0.0,False
B-0302C,mult,2024-02-12 18:00:00,2024-02-12 19:31:00,91.0,92,0.05819602,1.317,0.0356151113431372,0.806,199.25,far,mudanca_regime,5.2503,2.9653,2.7717,1.0372,0.1603,2.285,0.0,False
B-0302C,mult,2024-02-13 15:46:00,2024-02-13 18:34:00,168.0,169,0.15268987,3.456,0.0737872646648044,1.67,198.34,far,sustentado_sem_causa,4.9392,4.9633,2.7186,1.6972,0.1603,0.0241,0.0,False
B-0302C,mult,2024-02-13 18:59:00,2024-02-13 19:45:00,46.0,47,0.0479639,1.085,0.0268289542631578,0.607,198.21,far,mudanca_regime,3.0718,4.9863,2.5265,1.2027,0.1603,1.9145,0.0,False
B-0302C,mult,2024-02-14 18:20:00,2024-02-14 19:28:00,68.0,69,0.05239355,1.186,0.0308437265189873,0.698,197.24,far,mudanca_regime,4.2543,2.927,1.8429,0.9463,0.1603,1.3273,0.0,False
B-0302C,mult,2024-02-14 22:38:00,2024-02-14 23:38:00,60.0,61,0.049285986,1.115,0.0302623103380281,0.685,197.06,far,mudanca_regime,2.9615,4.6947,2.0507,0.7363,0.1603,1.7332,0.0,False
B-0302C,mult,2024-02-15 18:33:00,2024-02-15 19:33:00,60.0,61,0.0641053,1.451,0.0343882177323943,0.778,196.23,far,sustentado_sem_causa,3.5283,2.892,1.1229,1.0195,0.1603,0.6363,0.0,False
B-0302C,mult,2024-02-16 16:14:00,2024-02-16 17:52:00,98.0,99,0.05753889,1.302,0.034346515412844,0.777,195.32,far,mudanca_regime,4.2652,2.8104,1.7367,1.89,0.1603,1.4547,0.0,False
B-0302C,mult,2024-02-16 18:06:00,2024-02-16 19:29:00,83.0,84,0.052736055,1.193,0.035153251680851,0.796,195.25,far,mudanca_regime,4.2721,2.8714,1.8667,0.7753,0.1603,1.4007,0.0,False
B-0302C,mult,2024-02-16 22:31:00,2024-02-16 23:59:00,88.0,89,0.059455454,1.346,0.0327145553333333,0.74,195.06,far,mudanca_regime,2.8714,3.916,1.6219,0.9822,0.1603,1.0446,0.0,False
B-0302C,mult,2024-02-17 17:56:00,2024-02-17 22:07:00,251.0,252,0.15871811,3.592,0.076936122221374,1.741,194.25,far,mudanca_regime,4.6328,3.0472,2.4411,1.1447,0.1603,1.5856,0.0,False
B-0302C,mult,2024-02-17 22:58:00,2024-02-18 01:14:00,136.0,137,0.06029187,1.364,0.0370291121836734,0.838,194.04,far,sustentado_sem_causa,4.4426,4.7254,2.0484,0.9168,0.1603,0.2828,0.0,False
B-0302C,mult,2024-02-18 10:59:00,2024-02-18 12:06:00,67.0,68,0.06909743,1.564,0.034803020576923,0.788,193.54,far,mudanca_regime,4.4576,2.8277,2.156,1.5263,0.1603,1.6299,0.0,False
B-0302C,mult,2024-02-18 13:45:00,2024-02-18 15:22:00,97.0,98,0.050753854,1.149,0.0322013286481481,0.729,193.43,far,mudanca_regime,2.786,4.9915,2.7695,1.3818,0.1603,2.2054,0.0,False
B-0302C,mult,2024-02-18 18:45:00,2024-02-18 20:19:00,94.0,95,0.0532449,1.205,0.0349994047904761,0.792,193.22,far,mudanca_regime,4.905,2.8447,2.4242,0.8425,0.1603,2.0603,0.0,False
B-0302C,mult,2024-02-19 09:03:00,2024-02-19 10:54:00,111.0,112,0.074219786,1.68,0.0426059035983606,0.964,192.62,far,sustentado_sem_causa,2.9063,2.8615,0.5649,1.8655,0.1603,0.0448,0.0,False
B-0302C,mult,2024-02-20 18:26:00,2024-02-20 19:42:00,76.0,77,0.075693145,1.713,0.0360039662528735,0.815,191.23,far,mudanca_regime,4.1026,3.0224,1.6484,0.9217,0.1603,1.0801,0.0,False
B-0302C,mult,2024-02-20 22:11:00,2024-02-20 23:40:00,89.0,90,0.057931587,1.311,0.032313686555,0.731,191.08,far,mudanca_regime,3.046,4.2575,1.7342,2.3504,0.1603,1.2115,0.0,False
B-0302C,mult,2024-02-21 10:01:00,2024-02-21 12:37:00,156.0,157,0.08062882,1.825,0.0430457152035928,0.974,190.58,far,sustentado_sem_causa,4.1556,4.1196,1.8968,1.4103,0.1603,0.0361,0.0,False
