equip,mode,start,end,duration_min,n_points,peak_mae,peak_ratio,mean_mae,mean_ratio,dist_to_failure_days,category
B-0302C,uni,2024-02-02 04:56:00,2024-02-02 05:55:00,59.0,60,0.01305879,1.472,0.004529595794285714,0.511,209.79,far
B-0302C,uni,2024-02-08 07:59:00,2024-02-08 09:40:00,101.0,102,0.025078006,2.827,0.005681247683571429,0.64,203.67,far
B-0302C,uni,2024-02-08 12:08:00,2024-02-08 13:51:00,103.0,104,0.022666415,2.555,0.005502915883684211,0.62,203.49,far
B-0302C,uni,2024-02-08 16:57:00,2024-02-08 17:47:00,50.0,51,0.026537832,2.992,0.008870475432786887,1.0,203.29,far
B-0302C,uni,2024-02-08 17:50:00,2024-02-08 17:51:00,1.0,2,0.00777457,0.876,0.004268431299999999,0.481,203.26,far
B-0302C,uni,2024-02-11 22:18:00,2024-02-11 22:20:00,2.0,3,0.013121199,1.479,0.009884317192307692,1.114,200.07,far
B-0302C,uni,2024-02-11 22:22:00,2024-02-11 22:27:00,5.0,6,0.009983849,1.126,0.00943082365625,1.063,200.07,far
B-0302C,uni,2024-02-11 22:29:00,2024-02-11 23:29:00,60.0,61,0.010859307,1.224,0.004268494404507042,0.481,200.06,far
B-0302C,uni,2024-02-11 23:31:00,2024-02-11 23:33:00,2.0,3,0.00106686,0.12,0.0009632648076923077,0.109,200.02,far
B-0302C,uni,2024-02-16 00:27:00,2024-02-16 07:11:00,404.0,405,0.017894255,2.017,0.009696424035180723,1.093,195.98,far
B-0302C,uni,2024-02-16 23:13:00,2024-02-17 00:24:00,71.0,72,0.012542518,1.414,0.006993163325609756,0.788,195.03,far
B-0302C,uni,2024-02-17 02:00:00,2024-02-17 02:27:00,27.0,28,0.00957188,1.079,0.007822674081578948,0.882,194.92,far
B-0302C,uni,2024-02-19 23:38:00,2024-02-20 00:15:00,37.0,38,0.009592281,1.081,0.00763908540625,0.861,192.02,far
B-0302C,uni,2024-02-20 00:17:00,2024-02-20 00:22:00,5.0,6,0.008772405,0.989,0.00716103610625,0.807,191.99,far
B-0302C,uni,2024-02-20 00:24:00,2024-02-20 00:36:00,12.0,13,0.008772405,0.989,0.0070705912739130435,0.797,191.98,far
B-0302C,uni,2024-02-21 11:54:00,2024-02-21 13:20:00,86.0,87,0.011312798,1.275,0.007749496307216495,0.874,190.5,far
B-24001B,uni,2024-11-21 00:37:00,2024-11-21 02:30:00,113.0,114,0.026413169,2.355,0.010525211847580646,0.938,45.97,far
B-24001B,uni,2024-11-22 17:02:00,2024-11-22 17:32:00,30.0,31,0.021873629,1.95,0.012475270609756096,1.112,44.29,far
B-24001B,uni,2024-11-22 17:37:00,2024-11-22 18:56:00,79.0,80,0.021873629,1.95,0.008318542100777777,0.742,44.27,far
B-24001B,uni,2024-11-27 12:25:00,2024-11-27 16:10:00,225.0,226,0.037123848,3.31,0.015473728319067796,1.38,39.48,far
B-24001B,uni,2024-11-27 16:16:00,2024-11-27 16:16:00,0.0,1,0.0015137732,0.135,0.0014205751999999997,0.127,39.32,far
B-24001B,uni,2024-11-27 18:40:00,2024-11-28 00:08:00,328.0,329,0.035144605,3.133,0.012307666060471975,1.097,39.22,far
B-24001B,uni,2024-11-28 00:12:00,2024-11-28 00:15:00,3.0,4,0.014665458,1.308,0.008869120942857142,0.791,38.99,far
B-24001B,uni,2024-11-28 01:03:00,2024-11-28 02:03:00,60.0,61,0.018393004,1.64,0.008044899223943665,0.717,38.96,far
B-24001B,uni,2024-11-28 07:58:00,2024-11-28 09:07:00,69.0,70,0.02209863,1.97,0.014363332282499999,1.281,38.67,far
B-24001B,uni,2024-11-28 09:19:00,2024-11-28 09:50:00,31.0,32,0.009281318,0.828,0.007625008773809523,0.68,38.61,far
B-24001B,uni,2024-11-28 10:17:00,2024-11-28 12:05:00,108.0,109,0.021983342,1.96,0.010346737006722687,0.923,38.57,far
B-24001B,uni,2024-11-29 05:21:00,2024-11-29 06:09:00,48.0,49,0.030097494,2.683,0.016371297918644067,1.46,37.78,far
B-24001B,uni,2024-11-29 06:14:00,2024-11-29 09:47:00,213.0,214,0.029217923,2.605,0.011826605986160714,1.054,37.74,far
B-24001B,uni,2024-11-29 16:24:00,2024-11-29 18:46:00,142.0,143,0.019696323,1.756,0.011175511926143791,0.996,37.32,far
B-24001B,uni,2024-11-29 18:48:00,2024-11-29 19:07:00,19.0,20,0.0037275741,0.332,0.00291042843,0.259,37.22,far
B-24001B,uni,2024-11-29 19:10:00,2024-11-29 19:10:00,0.0,1,0.0037275741,0.332,0.0018186392909090908,0.162,37.2,far
