equip,mode,start,end,duration_min,n_points,peak_mae,peak_ratio,mean_mae,mean_ratio,dist_to_failure_days,category,trig_class,base_before,base_after,peak_dev,max_step_in_ep,typical_step,level_shift,frac_off_like,shutdown_after
B-0302C,uni,2024-02-02 04:56:00,2024-02-02 05:55:00,59.0,60,0.01305879,1.472,0.0045295957942857,0.511,209.79,far,sustentado_sem_causa,5.0143,5.4343,0.7122,1.9492,0.145,0.4201,0.0,False
B-0302C,uni,2024-02-08 07:59:00,2024-02-08 09:40:00,101.0,102,0.025078006,2.827,0.0056812476835714,0.64,203.67,far,mudanca_regime,5.2276,6.8325,2.0069,3.811,0.145,1.6049,0.0,False
B-0302C,uni,2024-02-08 12:08:00,2024-02-08 13:51:00,103.0,104,0.022666415,2.555,0.0055029158836842,0.62,203.49,far,precursor_parada,6.8213,5.0502,2.2534,3.0037,0.145,1.7711,0.0,True
B-0302C,uni,2024-02-08 16:57:00,2024-02-08 17:47:00,50.0,51,0.026537832,2.992,0.0088704754327868,1.0,203.29,far,precursor_parada,5.2274,2.8321,0.8596,3.486,0.145,2.3953,0.0,True
B-0302C,uni,2024-02-08 17:50:00,2024-02-08 17:51:00,1.0,2,0.00777457,0.876,0.0042684312999999,0.481,203.26,far,mudanca_regime,5.4317,2.8411,3.124,1.0478,0.145,2.5906,0.0,True
B-0302C,uni,2024-02-11 22:18:00,2024-02-11 22:20:00,2.0,3,0.013121199,1.479,0.0098843171923076,1.114,200.07,far,mudanca_regime,5.2669,2.9605,2.5868,1.2739,0.145,2.3063,0.0,True
B-0302C,uni,2024-02-11 22:22:00,2024-02-11 22:27:00,5.0,6,0.009983849,1.126,0.00943082365625,1.063,200.07,far,mudanca_regime,5.2187,2.9635,2.579,1.2739,0.145,2.2551,0.0,True
B-0302C,uni,2024-02-11 22:29:00,2024-02-11 23:29:00,60.0,61,0.010859307,1.224,0.004268494404507,0.481,200.06,far,precursor_parada,5.1752,2.9858,2.721,1.2739,0.145,2.1894,0.0,True
B-0302C,uni,2024-02-11 23:31:00,2024-02-11 23:33:00,2.0,3,0.00106686,0.12,0.0009632648076923,0.109,200.02,far,transiente_curto,3.1201,2.977,0.3301,0.7204,0.145,0.1432,0.0,True
B-0302C,uni,2024-02-16 00:27:00,2024-02-16 07:11:00,404.0,405,0.017894255,2.017,0.0096964240351807,1.093,195.98,far,sustentado_sem_causa,4.0343,4.4032,0.7581,0.7801,0.145,0.3689,0.0,False
B-0302C,uni,2024-02-16 23:13:00,2024-02-17 00:24:00,71.0,72,0.012542518,1.414,0.0069931633256097,0.788,195.03,far,mudanca_regime,3.1471,3.9533,1.3462,0.9822,0.145,0.8061,0.0,False
B-0302C,uni,2024-02-17 02:00:00,2024-02-17 02:27:00,27.0,28,0.00957188,1.079,0.0078226740815789,0.882,194.92,far,mudanca_regime,3.916,4.7531,1.2255,0.7814,0.145,0.8371,0.0,False
B-0302C,uni,2024-02-19 23:38:00,2024-02-20 00:15:00,37.0,38,0.009592281,1.081,0.00763908540625,0.861,192.02,far,sustentado_sem_causa,3.823,4.107,0.7619,0.7143,0.145,0.2841,0.0,False
B-0302C,uni,2024-02-20 00:17:00,2024-02-20 00:22:00,5.0,6,0.008772405,0.989,0.00716103610625,0.807,191.99,far,transiente_curto,4.0607,4.107,0.3899,0.7387,0.145,0.0464,0.0,False
B-0302C,uni,2024-02-20 00:24:00,2024-02-20 00:36:00,12.0,13,0.008772405,0.989,0.007070591273913,0.797,191.98,far,transiente_curto,4.0702,4.1091,0.431,0.7387,0.145,0.0389,0.0,False
B-0302C,uni,2024-02-21 11:54:00,2024-02-21 13:20:00,86.0,87,0.011312798,1.275,0.0077494963072164,0.874,190.5,far,precursor_parada,3.6919,4.1394,0.8746,0.757,0.145,0.4475,0.0,True
B-24001B,uni,2024-11-21 00:37:00,2024-11-21 02:30:00,113.0,114,0.026413169,2.355,0.0105252118475806,0.938,45.97,far,mudanca_regime,5.0772,1.3285,5.0966,6.5694,0.0001,3.7487,0.0,False
B-24001B,uni,2024-11-22 17:02:00,2024-11-22 17:32:00,30.0,31,0.021873629,1.95,0.012475270609756,1.112,44.29,far,precursor_parada,5.3098,0.2859,9.67,8.0422,0.0001,5.0238,0.0,False
B-24001B,uni,2024-11-22 17:37:00,2024-11-22 18:56:00,79.0,80,0.021873629,1.95,0.0083185421007777,0.742,44.27,far,precursor_parada,5.3098,0.252,5.0333,12.1699,0.0001,5.0577,0.0,False
B-24001B,uni,2024-11-27 12:25:00,2024-11-27 16:10:00,225.0,226,0.037123848,3.31,0.0154737283190677,1.38,39.48,far,mudanca_regime,0.0388,1.6172,12.0342,7.3634,0.0001,1.5784,0.0,False
B-24001B,uni,2024-11-27 16:16:00,2024-11-27 16:16:00,0.0,1,0.0015137732,0.135,0.0014205751999999,0.127,39.32,far,mudanca_regime,1.7768,1.6146,0.0997,0.2519,0.0001,0.1623,0.0,False
B-24001B,uni,2024-11-27 18:40:00,2024-11-28 00:08:00,328.0,329,0.035144605,3.133,0.0123076660604719,1.097,39.22,far,mudanca_regime,1.6133,1.7387,12.7269,8.6429,0.0001,0.1254,0.0,False
B-24001B,uni,2024-11-28 00:12:00,2024-11-28 00:15:00,3.0,4,0.014665458,1.308,0.0088691209428571,0.791,38.99,far,mudanca_regime,5.1354,1.7193,0.5426,3.1781,0.0001,3.416,0.0,False
B-24001B,uni,2024-11-28 01:03:00,2024-11-28 02:03:00,60.0,61,0.018393004,1.64,0.0080448992239436,0.717,38.96,far,mudanca_regime,5.1644,1.6679,3.5754,5.6198,0.0001,3.4965,0.0,False
B-24001B,uni,2024-11-28 07:58:00,2024-11-28 09:07:00,69.0,70,0.02209863,1.97,0.0143633322824999,1.281,38.67,far,glitch_sensor,1.7348,7.4479,7.005,6.143,0.0001,5.713,0.0,False
B-24001B,uni,2024-11-28 09:19:00,2024-11-28 09:50:00,31.0,32,0.009281318,0.828,0.0076250087738095,0.68,38.61,far,mudanca_regime,7.6546,2.0067,1.0852,1.5987,0.0001,5.6479,0.0,False
B-24001B,uni,2024-11-28 10:17:00,2024-11-28 12:05:00,108.0,109,0.021983342,1.96,0.0103467370067226,0.923,38.57,far,mudanca_regime,8.0745,1.8715,6.2722,5.4648,0.0001,6.2029,0.0,False
B-24001B,uni,2024-11-29 05:21:00,2024-11-29 06:09:00,48.0,49,0.030097494,2.683,0.016371297918644,1.46,37.78,far,mudanca_regime,1.8164,15.4739,14.4229,11.7435,0.0001,13.6574,0.0,False
B-24001B,uni,2024-11-29 06:14:00,2024-11-29 09:47:00,213.0,214,0.029217923,2.605,0.0118266059861607,1.054,37.74,far,precursor_parada,1.9669,1.8377,14.6793,11.7435,0.0001,0.1293,0.0,True
B-24001B,uni,2024-11-29 16:24:00,2024-11-29 18:46:00,142.0,143,0.019696323,1.756,0.0111755119261437,0.996,37.32,far,glitch_sensor,0.2487,1.9379,13.3358,7.9259,0.0001,1.6892,0.0,False
B-24001B,uni,2024-11-29 18:48:00,2024-11-29 19:07:00,19.0,20,0.0037275741,0.332,0.00291042843,0.259,37.22,far,mudanca_regime,1.7053,1.9512,0.1569,1.124,0.0001,0.2459,0.0,False
B-24001B,uni,2024-11-29 19:10:00,2024-11-29 19:10:00,0.0,1,0.0037275741,0.332,0.001818639290909,0.162,37.2,far,mudanca_regime,1.6666,1.9512,0.1357,0.155,0.0001,0.2846,0.0,False
B-24001B,uni,2024-11-29 19:12:00,2024-11-29 19:18:00,6.0,7,0.002338768,0.209,0.0014904520470588,0.133,37.2,far,mudanca_regime,1.6666,1.9512,0.0775,0.1744,0.0001,0.2846,0.0,False
B-24001B,uni,2024-11-30 17:44:00,2024-12-02 15:48:00,2764.0,2765,0.020782921,1.853,0.0118127898574774,1.053,36.26,far,precursor_parada,0.0451,0.2084,17.202,11.1815,0.0001,0.1633,0.0,True
B-24001B,uni,2024-12-02 16:11:00,2024-12-02 16:45:00,34.0,35,0.014437382,1.287,0.0075044705414444,0.669,34.33,far,glitch_sensor,13.5069,0.2038,13.2983,14.9216,0.0001,13.3032,0.0,True
B-24001B,uni,2024-12-03 11:41:00,2024-12-03 12:41:00,60.0,61,0.014549185,1.297,0.0075341795394366,0.672,33.51,far,mudanca_regime,0.2382,1.9903,2.0593,8.8172,0.0001,1.7522,0.0,False
B-24001B,uni,2024-12-03 21:48:00,2024-12-03 23:29:00,101.0,102,0.016812734,1.499,0.0073787607732142,0.658,33.09,far,precursor_parada,1.7247,1.6749,0.1938,2.9068,0.0001,0.0498,0.0,True
B-24001B,uni,2024-12-04 07:26:00,2024-12-04 08:12:00,46.0,47,0.016804459,1.498,0.0101024551385964,0.901,32.69,far,glitch_sensor,0.0485,7.6643,9.699,7.48,0.0001,7.6158,0.0,True
B-24001B,uni,2024-12-18 14:12:00,2024-12-18 15:09:00,57.0,58,0.014559772,1.298,0.0073578944661764,0.656,18.41,far,mudanca_regime,0.0581,1.8155,2.0735,6.7825,0.0001,1.7573,0.0,False
B-24001B,uni,2024-12-19 02:49:00,2024-12-19 03:49:00,60.0,61,0.016161596,1.441,0.0086116899169014,0.768,17.88,far,precursor_parada,1.7167,1.8991,0.5119,6.2076,0.0001,0.1824,0.0,True
B-24001B,uni,2024-12-19 15:53:00,2024-12-19 16:52:00,59.0,60,0.016324343,1.455,0.0083534694785714,0.745,17.34,far,glitch_sensor,0.0581,7.5771,8.7785,5.9686,0.0001,7.5189,0.0,False
B-24001B,uni,2024-12-19 18:30:00,2024-12-19 22:47:00,257.0,258,0.029013956,2.587,0.0128331133313432,1.144,17.23,far,mudanca_regime,7.7063,2.3096,5.6327,7.0538,0.0001,5.3967,0.0,False
B-24001B,uni,2024-12-20 00:47:00,2024-12-20 03:50:00,183.0,184,0.027726771,2.472,0.011884243877835,1.06,16.97,far,mudanca_regime,2.3096,3.1103,11.5655,6.6856,0.0001,0.8007,0.0,False
B-24001B,uni,2024-12-20 04:56:00,2024-12-20 05:56:00,60.0,61,0.01441805,1.286,0.0080578911633802,0.718,16.79,far,mudanca_regime,3.0909,3.0618,0.5329,5.5035,0.0001,0.0291,0.0,False
