tag,familia,loop,coluna,status,ja_modelado,tipo,eventos_total,onsets,primeiro,ultimo,condicoes,descricao
PI_6240319_AL,P,6240319,954005_624_PI_0319,ok,False,falha,1121,630,2022-04-28 09:03:08,2026-02-27 18:49:18,CFN|OK,TC_33003A - Falha PI Gás Motor p/Partida
PDT_6240301F,PD,6240301,954005_624_PDI_0301,ok,False,falha,83,50,2022-07-04 14:29:23,2025-11-14 10:22:34,CFN|OK,TC_33003A - Falha PDT Filtro Gás Selagem
PI_6240307_AL,P,6240307,954005_624_PI_0307,ok,False,falha,55,36,2023-10-04 10:21:59,2025-11-14 10:22:34,CFN|OK,TC_33003A - Falha PI Gás Selag. Balanc.
PDIT_6240305_AL,PD,6240305,954005_624_PDIT_0305,ok,False,falha,57,32,2022-02-27 00:06:42,2025-05-09 09:18:54,CFN|OK,TC_33003A - Falha PDI Vazam. Selo Prim.
FL_PT6240308,P,6240308,954005_624_PI_0308,ok,False,falha,55,29,2022-04-05 12:20:21,2025-11-14 10:22:36,CFN|OK,TC_33003A Falha PT-308 Óleo Lub. Comp.
FL_PT6240339,P,6240339,954005_624_PI_0339,ok,False,falha,34,18,2022-11-10 04:20:42,2025-11-14 10:22:36,CFN|OK,TC_33003A - Falha PT-339 Óleo Lubrif.
PDI_6240338_AL,PD,6240338,954005_624_PDI_0338,ok,False,falha,31,16,2022-10-20 13:55:49,2025-11-14 10:22:34,CFN|OK,TC_33003A - Falha no PDI Filt. Óleo Lub.
PDI_6240302_AL,PD,6240302,954005_624_PDI_0302,ok,False,falha,14,7,2022-07-13 12:17:45,2025-11-15 20:23:57,CFN|OK,TC_33003A - Falha no PDI de Gas Selagem
PDT_6240317,PD,6240317,954005_624_PDI_0317,ok,False,falha,8,4,2024-06-10 10:41:42,2025-11-14 10:22:34,CFN|OK,TC_33003A - Falha no PDT Gás Combustível
PAL_6240315,P,6240315,954005_624_PI_0315,ok,False,processo,1015,558,2022-01-04 05:21:47,2026-04-17 23:54:09,CFN|OK,TC_33003A - Pressão Baixa Gás Comb.
PAL_6240339,P,6240339,954005_624_PI_0339,ok,False,processo,471,254,2022-02-19 13:57:17,2026-03-04 08:35:30,CFN|OK,TC_33003A - Pressão Bx. Header Óleo Lub.
TC382_03_A,T,,TC382_03_A,ok,True,processo,447,253,2022-01-12 22:25:33,2026-04-16 02:38:43,HI|HIHI|OK|OVER|UNDER,TC_33003A - Temp. do Term. N.3 de T5
PALL_6240340,P,6240340,954005_624_PI_0340,ok,False,processo,384,204,2022-02-19 13:57:17,2026-03-04 08:51:30,CFN|OK,TC_33003A - TRIP-Pr.Mt.Bx. Hd. Óleo Lub.
PAH_6240319,P,6240319,954005_624_PI_0319,ok,False,processo,251,146,2022-04-28 09:03:08,2025-04-15 21:41:34,CFN|OK,TC_33003A - Pr.Alta Gás p/ Motor Partida
PDAL_6240302,PD,6240302,954005_624_PDI_0302,ok,False,processo,214,110,2022-01-08 01:33:34,2026-04-17 23:54:09,CFN|OK,TC_33003A - PrDif.Bx.Gás Linha Balanc.
T5_AVG_A,T,,T5_AVG_A,ok,True,processo,224,110,2022-01-12 22:25:33,2026-04-15 14:44:37,HI|HIHI|OK|UNDER,TC_33003A - Temperatura Media T5
TAL_6240325,T,6240325,954005_624_TI_0325,ok,False,processo,173,109,2022-03-01 03:46:46,2025-11-14 18:33:41,CFN|OK,TC_33003A - Temp. Baixa Tanque Óleo Lub.
TC382_01_A,T,,TC382_01_A,ok,True,processo,191,92,2022-01-12 22:25:33,2026-01-14 16:19:18,HI|OK|OVER|UNDER,TC_33003A - Temp. do Term. N.1 de T5
TI_6240315,T,6240315,954005_624_TI_0315,ok,False,processo,187,92,2022-01-12 22:25:33,2026-01-14 16:19:18,LOLO|OK|OVER|UNDER,TC_33003A - Temperatura Ar de Exaustão
TC382_05_A,T,,TC382_05_A,ok,True,processo,190,91,2022-01-12 22:25:33,2026-01-14 16:19:18,HI|OK|UNDER,TC_33003A - Temp. do Term. N.5 de T5
TC382_02_A,T,,TC382_02_A,ok,True,processo,187,90,2022-01-12 22:25:33,2026-01-14 16:19:18,HI|HIHI|OK|OVER|UNDER,TC_33003A - Temp. do Term. N.2 de T5
TI_6240317,T,6240317,954005_624_TI_0317,ok,False,processo,186,90,2022-01-12 22:25:33,2026-01-14 16:19:18,LOLO|OK|UNDER,TC_33003A - Temperatura Ar de Exaustão
TAH_6240305,T,6240305,954005_624_TI_0305,ok,False,processo,143,87,2022-07-21 12:33:12,2025-12-09 16:00:41,CFN|OK,TC_33003A - Temp.Alta Mancal Rad.LNA CP
TALL_6240325,T,6240325,954005_624_TI_0325,ok,False,processo,129,86,2022-03-01 07:32:40,2025-11-14 21:30:47,CFN|OK,TC_33003A -TRIP -Temp.Mt.Bx.TQ Óleo Lub.
TC382_04_A,T,,TC382_04_A,ok,True,processo,179,86,2022-01-12 22:25:33,2026-01-14 16:19:14,HI|OK|UNDER,TC_33003A - Temp. do Term. N.4 de T5
TC382_06_A,T,,TC382_06_A,ok,True,processo,173,83,2022-01-12 22:25:33,2026-01-14 16:19:18,OK|UNDER,TC_33003A - Temp. do Term. N.6 de T5
TAHH_6240305,T,6240305,954005_624_TI_0305,ok,False,processo,114,73,2022-07-21 12:33:12,2025-12-09 16:03:27,CFN|OK,TC_33003A - Temp.Mt.Alta Manc.Rad.LNA CP
TAH_6240303,T,6240303,954005_624_TI_0303,ok,False,processo,55,29,2022-07-21 12:33:12,2025-12-09 16:00:41,CFN|OK,TC_33003A - Temp.Alta Mancal Esc.Inativo
TAHH_6240303,T,6240303,954005_624_TI_0303,ok,False,processo,51,27,2022-07-21 12:33:12,2025-12-09 16:03:27,CFN|OK,TC_33003A -Temp.Mt.Alta Manc.Esc.Inativo
TAH_6240307,T,6240307,954005_624_TI_0307,ok,False,processo,37,20,2023-10-04 10:21:59,2025-05-08 13:55:39,CFN|OK,TC_33003A - Temp.Alta Mancal Rad.LA CP
TAH_6240301,T,6240301,954005_624_TI_0301,ok,False,processo,35,19,2022-11-05 09:49:44,2025-05-08 13:55:39,CFN|OK,TC_33003A - Temp.Alta Mancal Esc. Ativo
TV_354X_A,T,,TV_354X_A,ok,True,processo,23,15,2022-11-13 10:55:32,2025-11-15 08:48:14,HIHI|LOLO|OK,TC_33003A - Vibração X Mancal 4
TV_354Y_A,T,,TV_354Y_A,ok,True,processo,23,15,2022-11-13 10:57:23,2025-11-15 08:48:14,HIHI|LOLO|OK,TC_33003A - Vibração Y Mancal 4
TV_355Y_A,T,,TV_355Y_A,ok,True,processo,18,15,2022-11-13 10:56:23,2025-05-08 11:08:42,HI|LOLO|OK,TC_33003A - Vibração Y Mancal 5
TV_352X_A,T,,TV_352X_A,ok,True,processo,18,14,2022-10-23 10:19:52,2025-05-09 12:00:24,LOLO|OK,TC_33003A - Vibração X Mancal 2
TV_352Y_A,T,,TV_352Y_A,ok,True,processo,17,14,2022-10-23 10:17:16,2025-05-09 12:00:24,LOLO|OK,TC_33003A - Vibração Y Mancal 2
TV_353X_A,T,,TV_353X_A,ok,True,processo,28,14,2022-10-23 10:16:19,2025-05-08 11:08:54,LOLO|OK,TC_33003A - Vibração X Mancal 3
TV_353Y_A,T,,TV_353Y_A,ok,True,processo,28,14,2022-10-23 10:16:43,2025-05-08 11:08:54,LOLO|OK,TC_33003A - Vibração Y Mancal 3
TV_355X_A,T,,TV_355X_A,ok,True,processo,16,14,2022-11-13 10:53:32,2025-05-08 11:08:42,LOLO|OK,TC_33003A - Vibração X Mancal 5
PDAH_6240305,PD,6240305,954005_624_PDIT_0305,ok,False,processo,23,13,2022-02-27 00:06:24,2026-04-06 19:56:34,CFN|OK,TC_33003A -Pr.Dif.Alta Vaz.Selo Primário
TV_351X_A,T,,TV_351X_A,ok,True,processo,16,11,2022-10-23 14:52:58,2025-05-09 10:20:39,LOLO|OK,TC_33003A - Vibração X Mancal 1
TV_351Y_A,T,,TV_351Y_A,ok,True,processo,10,8,2022-10-23 14:51:58,2025-05-09 10:20:11,LOLO|OK,TC_33003A - Vibração Y Mancal 1
PDAHH6240305,PD,6240305,954005_624_PDIT_0305,ok,False,processo,14,7,2022-02-27 00:06:42,2025-02-27 17:36:16,CFN|OK,TC_33003A Pr.Dif.Mt.Alta Vaz. Selo Prim.
TAHH_6240307,T,6240307,954005_624_TI_0307,ok,False,processo,6,3,2024-06-11 14:31:12,2025-04-13 10:02:09,CFN|OK,TC_33003A - Temp.Mt.Alta Manc.Rad.LA CP
PDIT_6240304_AL,PD,6240304,,sem_curva,False,falha,40,22,2023-10-04 10:21:59,2026-04-18 18:23:09,CFN|OK,TC_33003A - Falha PDI Vazam. Selo Prim.
PAL_306_PERM,P,,,sem_curva,False,processo,52,34,2022-10-19 22:18:23,2025-11-14 10:22:36,CFN|OK,TC_33003A - Pr.Bx. Ar Sep. Selo Comp.
PALL_6240309,P,6240309,,sem_curva,False,processo,25,13,2023-10-10 08:55:43,2026-02-26 17:11:36,CFN|OK,TC_33003A -TRIP-Pr.Mt.Bx.Óleo Lub. Comp.
