tag,n_alarms,alarms_with_detected_anomaly_in_window,hit_rate
PAH_6240319,67,57,0.8507462686567164
PDAL_6240302,55,46,0.8363636363636363
PDAHH6240305,5,4,0.8
PDI_6240302_AL,3,2,0.6666666666666666
TAHH_6240307,3,2,0.6666666666666666
PDAH_6240305,8,5,0.625
TC382_03_A,187,116,0.6203208556149733
PAL_6240315,374,225,0.6016042780748663
PI_6240319_AL,509,281,0.5520628683693517
T5_AVG_A,64,32,0.5
PALL_6240309,6,3,0.5
PDIT_6240305_AL,24,9,0.375
TC382_05_A,52,19,0.36538461538461536
TC382_01_A,49,16,0.32653061224489793
TI_6240315,42,13,0.30952380952380953
TI_6240317,41,12,0.2926829268292683
TC382_02_A,46,13,0.2826086956521739
TC382_04_A,44,12,0.2727272727272727
TC382_06_A,44,12,0.2727272727272727
TAH_6240305,63,14,0.2222222222222222
TAH_6240303,23,5,0.21739130434782608
TAHH_6240303,22,4,0.18181818181818182
TAH_6240307,17,3,0.17647058823529413
TAHH_6240305,52,9,0.17307692307692307
TV_351Y_A,6,1,0.16666666666666666
TV_354X_A,13,2,0.15384615384615385
TV_354Y_A,13,2,0.15384615384615385
PAL_6240339,179,26,0.1452513966480447
FL_PT6240308,25,3,0.12
PDT_6240301F,18,2,0.1111111111111111
TV_351X_A,9,1,0.1111111111111111
PI_6240307_AL,19,2,0.10526315789473684
PALL_6240340,163,16,0.09815950920245399
PDIT_6240304_AL,21,2,0.09523809523809523
TV_355X_A,12,1,0.08333333333333333
TV_353Y_A,12,1,0.08333333333333333
TV_353X_A,12,1,0.08333333333333333
TV_352X_A,12,1,0.08333333333333333
TV_352Y_A,12,1,0.08333333333333333
TV_355Y_A,12,1,0.08333333333333333
TAH_6240301,15,1,0.06666666666666667
FL_PT6240339,15,1,0.06666666666666667
PDI_6240338_AL,15,1,0.06666666666666667
PAL_306_PERM,17,1,0.058823529411764705
TALL_6240325,53,3,0.05660377358490566
TAL_6240325,68,3,0.04411764705882353
PDT_6240317,4,0,0.0
