Unnamed: 0,eventos_detectados,eventos_total,lead_medio_h,fp_episodios,fp_por_mes,fp_horas_por_mes,fp_explicados,fp_por_mes_liquido,alarmes_antecipados,alarmes_total,alarmes_utilidade_antecipados,alarmes_utilidade_total,dias_avaliados,episodios_totais,baseline_amostras,baseline_horas_medio,baseline_span_dias_medio,retreinos_truncados,retreinos_invalidos,det_1a_metade,det_2a_metade,maior_silencio_h,trimestres_com_alerta,trimestres_avaliados,aprovado,vivo,trial.model,trial.grid,trial.baseline.window_hours,trial.baseline.window_days,trial.baseline.max_age_days,trial.baseline.min_hours,trial.ewma,trial.exclude_days,trial.exclude_alarm_h,trial.threshold,trial.sustain,trial.confirm,trial.min_alert,trial.threshold_kind,trial.baseline_label,trial.baseline_hours,trial.baseline_mode,leads.2025-02-27 08:38:00,leads.2025-04-11 17:04:00,leads.2025-04-29 03:04:00,leads.2025-12-09 08:36:00,leads.2026-02-26 15:34:00,leads.2025-03-17 18:16:00,leads.2025-04-07 21:18:00,leads.2025-11-04 06:22:00
3099,6,9,13.2,13,0.82,16.2,8,0.31,11,210,0,0,476.9,24,104866,3495.6,272.1,8,0,5,1,2895.1,6,9,True,False,ae,2min,4000.0,,,100.0,30min,7,1.0,10.0,30min,2,0min,k_maiores,4000h,4000.0,movel,1.3,4.6,3.7,,19.8,30.8,18.9,
2918,5,9,11.0,13,0.82,44.5,5,0.5,10,210,0,0,476.9,21,86086,2869.6,195.3,6,0,4,1,2755.7,5,9,True,False,ae,2min,3000.0,,,100.0,1h,0,1.0,99.97,2h,2,0min,percentil,3000h,3000.0,movel,0.1,3.3,3.8,,18.4,29.3,,
2944,5,9,16.2,13,0.82,52.7,4,0.57,11,210,0,0,476.9,22,86086,2869.6,195.3,6,0,4,1,2755.7,5,9,True,False,ae,2min,3000.0,,,100.0,2h,0,1.0,30.0,2h,2,0min,k_maiores,3000h,3000.0,movel,0.1,20.0,13.1,,18.3,29.3,,
3135,5,9,15.1,13,0.82,18.8,7,0.38,8,210,0,0,476.9,24,104866,3495.6,272.1,8,0,4,1,3688.8,6,9,True,False,ae,2min,4000.0,,,100.0,1h,7,1.0,10.0,2h,2,0min,k_maiores,4000h,4000.0,movel,,3.0,7.9,,18.3,29.3,17.0,
3052,5,9,11.4,14,0.88,9.3,9,0.31,11,210,0,0,476.9,22,107841,3594.8,248.4,8,0,4,1,3778.9,5,9,True,False,ae,2min,4000.0,,,100.0,1h,0,1.0,30.0,30min,2,0min,k_maiores,4000h,4000.0,movel,1.6,3.4,1.3,,19.9,30.8,,
4059,5,9,17.1,14,0.88,20.9,8,0.38,12,210,0,0,476.9,23,74607,2486.9,156.9,17,0,4,1,2255.8,7,9,True,False,ae,2min,3000.0,,180.0,100.0,1h,0,1.0,10.0,30min,2,0min,k_maiores,3000h+idade180d,3000.0,hibrido,1.3,21.5,4.6,,19.8,,38.5,
4177,5,9,23.7,14,0.88,15.5,8,0.38,12,210,0,0,476.9,28,190552,6351.8,463.9,0,0,4,1,2196.8,6,9,True,False,ae,2min,,,,100.0,30min,0,1.0,99.9,30min,2,0min,percentil,acum,,acumulativo,45.2,21.5,1.1,,19.7,30.8,,
2942,5,9,16.1,15,0.94,51.3,4,0.69,11,210,0,0,476.9,24,86086,2869.6,195.3,6,0,4,1,2755.7,5,9,True,False,ae,2min,3000.0,,,100.0,2h,0,1.0,99.97,2h,2,0min,percentil,3000h,3000.0,movel,0.1,20.0,13.0,,18.3,29.3,,
4046,5,9,18.4,15,0.94,23.0,8,0.44,8,210,0,0,476.9,23,74607,2486.9,156.9,17,0,4,1,2255.8,6,9,True,False,ae,2min,3000.0,,180.0,100.0,30min,0,1.0,99.97,2h,2,0min,percentil,3000h+idade180d,3000.0,hibrido,,3.6,3.4,,18.4,29.3,37.3,
3111,4,9,13.0,7,0.44,16.3,5,0.13,5,210,0,0,476.9,16,104866,3495.6,272.1,8,0,4,0,3688.8,4,9,True,False,ae,2min,4000.0,,,100.0,30min,7,1.0,10.0,2h,2,0min,k_maiores,4000h,4000.0,movel,,3.1,2.2,,,29.3,17.4,
2943,4,9,12.6,8,0.5,48.6,3,0.31,6,210,0,0,476.9,16,86086,2869.6,195.3,6,0,3,1,2755.7,5,9,True,False,ae,2min,3000.0,,,100.0,2h,0,1.0,10.0,2h,2,0min,k_maiores,3000h,3000.0,movel,0.1,20.0,11.9,,18.3,,,
3027,4,9,6.7,9,0.57,14.1,7,0.13,5,210,0,0,476.9,16,107841,3594.8,248.4,8,0,3,1,3779.1,5,9,True,False,ae,2min,4000.0,,,100.0,30min,0,1.0,10.0,30min,2,0min,k_maiores,4000h,4000.0,movel,1.6,3.9,1.5,,19.8,,,
3040,4,9,12.6,10,0.63,16.7,5,0.31,7,210,0,0,476.9,17,107841,3594.8,248.4,8,0,3,1,3779.0,5,9,True,False,ae,2min,4000.0,,,100.0,30min,0,1.0,30.0,2h,2,0min,k_maiores,4000h,4000.0,movel,0.1,2.5,,,18.4,29.3,,
3051,4,9,6.5,10,0.63,8.5,8,0.13,6,210,0,0,476.9,17,107841,3594.8,248.4,8,0,3,1,3778.9,5,9,True,False,ae,2min,4000.0,,,100.0,1h,0,1.0,10.0,30min,2,0min,k_maiores,4000h,4000.0,movel,1.5,3.4,1.3,,19.8,,,
3064,4,9,12.4,10,0.63,10.9,6,0.25,6,210,0,0,476.9,17,107841,3594.8,248.4,8,0,3,1,3778.9,4,9,True,False,ae,2min,4000.0,,,100.0,1h,0,1.0,30.0,2h,2,0min,k_maiores,4000h,4000.0,movel,0.1,1.9,,,18.4,29.3,,
4250,4,9,13.7,10,0.63,16.7,5,0.31,7,210,0,0,476.9,18,169910,5663.7,463.5,0,0,4,0,3079.8,5,9,True,False,ae,2min,,,,100.0,30min,7,1.0,99.97,30min,2,0min,percentil,acum,,acumulativo,1.3,21.5,1.3,,,30.8,,
4252,4,9,13.7,10,0.63,16.6,6,0.25,7,210,0,0,476.9,17,169910,5663.7,463.5,0,0,4,0,3079.8,5,9,True,False,ae,2min,,,,100.0,30min,7,1.0,30.0,30min,2,0min,k_maiores,acum,,acumulativo,1.3,21.5,1.3,,,30.8,,
2931,4,9,22.0,11,0.69,49.5,7,0.25,9,210,0,0,476.9,20,86086,2869.6,195.3,6,0,3,1,2754.2,5,9,True,False,ae,2min,3000.0,,,100.0,2h,0,1.0,10.0,30min,2,0min,k_maiores,3000h,3000.0,movel,33.2,21.5,13.4,,19.8,,,
4277,4,9,13.7,11,0.69,20.5,6,0.31,8,210,0,0,476.9,17,169910,5663.7,463.5,0,0,4,0,3079.8,5,9,True,False,ae,2min,,,,100.0,1h,7,1.0,100.0,30min,2,0min,k_maiores,acum,,acumulativo,1.3,21.5,1.1,,,30.8,,
722,4,9,7.8,12,0.75,15.1,7,0.31,7,210,0,0,476.9,18,86086,2869.6,195.3,6,0,3,1,2895.1,6,9,True,False,pca,2min,3000.0,,,100.0,30min,0,1.0,99.97,30min,2,0min,percentil,3000h,3000.0,movel,0.8,4.9,5.8,,19.9,,,
724,4,9,7.8,12,0.75,15.1,7,0.31,7,210,0,0,476.9,18,86086,2869.6,195.3,6,0,3,1,2895.1,6,9,True,False,pca,2min,3000.0,,,100.0,30min,0,1.0,30.0,30min,2,0min,k_maiores,3000h,3000.0,movel,0.8,4.9,5.8,,19.9,,,
3075,4,9,6.2,12,0.75,10.1,8,0.25,9,210,0,0,476.9,20,107841,3594.8,248.4,8,0,3,1,3776.7,4,9,True,False,ae,2min,4000.0,,,100.0,2h,0,1.0,10.0,30min,2,0min,k_maiores,4000h,4000.0,movel,1.6,2.4,1.1,,19.8,,,
4253,4,9,13.8,12,0.75,17.1,5,0.44,9,210,0,0,476.9,19,169910,5663.7,463.5,0,0,4,0,3079.9,5,9,True,False,ae,2min,,,,100.0,30min,7,1.0,100.0,30min,2,0min,k_maiores,acum,,acumulativo,1.3,21.5,1.4,,,30.8,,
4273,4,9,13.7,12,0.75,20.9,5,0.44,8,210,0,0,476.9,18,169910,5663.7,463.5,0,0,4,0,3080.0,5,9,True,False,ae,2min,,,,100.0,1h,7,1.0,99.9,30min,2,0min,percentil,acum,,acumulativo,1.3,21.5,1.1,,,30.8,,
866,4,9,3.0,13,0.82,16.2,6,0.44,9,210,0,0,476.9,18,107841,3594.8,248.4,8,0,4,0,2990.2,5,9,True,False,pca,2min,4000.0,,,100.0,30min,0,1.0,99.97,30min,2,0min,percentil,4000h,4000.0,movel,0.8,5.1,6.2,,,0.1,,
868,4,9,3.0,13,0.82,16.2,6,0.44,9,210,0,0,476.9,18,107841,3594.8,248.4,8,0,4,0,2990.3,5,9,True,False,pca,2min,4000.0,,,100.0,30min,0,1.0,30.0,30min,2,0min,k_maiores,4000h,4000.0,movel,0.8,5.1,6.1,,,0.1,,
4249,4,9,13.8,13,0.82,18.3,5,0.5,10,210,0,0,476.9,20,169910,5663.7,463.5,0,0,4,0,3080.1,5,9,True,False,ae,2min,,,,100.0,30min,7,1.0,99.9,30min,2,0min,percentil,acum,,acumulativo,1.3,21.5,1.4,,,30.8,,
3038,4,9,12.6,14,0.88,17.5,9,0.31,10,210,0,0,476.9,21,107841,3594.8,248.4,8,0,3,1,3779.0,5,9,True,False,ae,2min,4000.0,,,100.0,30min,0,1.0,99.97,2h,2,0min,percentil,4000h,4000.0,movel,0.1,2.5,,,18.4,29.3,,
