tag,n_alarms,alarms_with_detected_anomaly_in_window,hit_rate
PDAL_6240302,55,47,0.8545454545454545
PAH_6240319,67,57,0.8507462686567164
TC382_03_A,187,151,0.8074866310160428
PDAHH6240305,5,4,0.8
PDAH_6240305,8,6,0.75
PAL_6240315,374,251,0.6711229946524064
PDI_6240302_AL,3,2,0.6666666666666666
TAHH_6240307,3,2,0.6666666666666666
PI_6240319_AL,509,316,0.6208251473477406
T5_AVG_A,64,33,0.515625
PALL_6240309,6,3,0.5
PDIT_6240305_AL,24,11,0.4583333333333333
TC382_05_A,52,19,0.36538461538461536
TC382_01_A,49,15,0.30612244897959184
TI_6240315,42,12,0.2857142857142857
TC382_02_A,46,13,0.2826086956521739
TI_6240317,41,11,0.2682926829268293
TC382_04_A,44,11,0.25
TC382_06_A,44,11,0.25
PDIT_6240304_AL,21,5,0.23809523809523808
TAH_6240305,63,15,0.23809523809523808
PDT_6240301F,18,4,0.2222222222222222
TAH_6240303,23,5,0.21739130434782608
PI_6240307_AL,19,4,0.21052631578947367
TAHH_6240303,22,4,0.18181818181818182
TAH_6240307,17,3,0.17647058823529413
TAHH_6240305,52,9,0.17307692307692307
TV_351Y_A,6,1,0.16666666666666666
TV_354Y_A,13,2,0.15384615384615385
TV_354X_A,13,2,0.15384615384615385
PAL_6240339,179,27,0.15083798882681565
FL_PT6240308,25,3,0.12
TV_351X_A,9,1,0.1111111111111111
PALL_6240340,163,17,0.10429447852760736
TV_355X_A,12,1,0.08333333333333333
TV_353Y_A,12,1,0.08333333333333333
TV_353X_A,12,1,0.08333333333333333
TV_352X_A,12,1,0.08333333333333333
TV_352Y_A,12,1,0.08333333333333333
TV_355Y_A,12,1,0.08333333333333333
TAH_6240301,15,1,0.06666666666666667
FL_PT6240339,15,1,0.06666666666666667
PDI_6240338_AL,15,1,0.06666666666666667
PAL_306_PERM,17,1,0.058823529411764705
TALL_6240325,53,3,0.05660377358490566
TAL_6240325,68,3,0.04411764705882353
PDT_6240317,4,0,0.0
