tag,n_alarms,alarms_with_detected_anomaly_in_window,hit_rate
PAH_6240319,67,62,0.9253731343283582
PDAL_6240302,55,50,0.9090909090909091
TC382_03_A,187,154,0.8235294117647058
PDAHH6240305,5,4,0.8
PDAH_6240305,8,6,0.75
PI_6240319_AL,509,360,0.7072691552062869
PAL_6240315,374,256,0.6844919786096256
PDI_6240302_AL,3,2,0.6666666666666666
TAHH_6240307,3,2,0.6666666666666666
T5_AVG_A,64,34,0.53125
PALL_6240309,6,3,0.5
PDIT_6240305_AL,24,11,0.4583333333333333
TC382_05_A,52,20,0.38461538461538464
TC382_01_A,49,16,0.32653061224489793
TI_6240315,42,13,0.30952380952380953
TC382_02_A,46,14,0.30434782608695654
TI_6240317,41,12,0.2926829268292683
PDIT_6240304_AL,21,6,0.2857142857142857
TC382_06_A,44,12,0.2727272727272727
TC382_04_A,44,12,0.2727272727272727
TAH_6240305,63,15,0.23809523809523808
PDT_6240301F,18,4,0.2222222222222222
TAH_6240303,23,5,0.21739130434782608
PI_6240307_AL,19,4,0.21052631578947367
TAHH_6240303,22,4,0.18181818181818182
TAH_6240307,17,3,0.17647058823529413
TAHH_6240305,52,9,0.17307692307692307
TV_351Y_A,6,1,0.16666666666666666
PAL_6240339,179,28,0.1564245810055866
TV_354X_A,13,2,0.15384615384615385
TV_354Y_A,13,2,0.15384615384615385
FL_PT6240308,25,3,0.12
TV_351X_A,9,1,0.1111111111111111
PALL_6240340,163,17,0.10429447852760736
TAL_6240325,68,6,0.08823529411764706
TV_353Y_A,12,1,0.08333333333333333
TV_353X_A,12,1,0.08333333333333333
TV_355X_A,12,1,0.08333333333333333
TV_352X_A,12,1,0.08333333333333333
TV_355Y_A,12,1,0.08333333333333333
TV_352Y_A,12,1,0.08333333333333333
FL_PT6240339,15,1,0.06666666666666667
PDI_6240338_AL,15,1,0.06666666666666667
TAH_6240301,15,1,0.06666666666666667
PAL_306_PERM,17,1,0.058823529411764705
TALL_6240325,53,3,0.05660377358490566
PDT_6240317,4,0,0.0
