stack,config,det,eps,fp_mes,h_mes,lead,p,perdidos
diego_iforest_estatico,4 sinais (sem teto),8,88,4.347903553002324,106.73174183399978,19.708333333333336,0.00035,2024-01-16
diego_iforest_estatico,4 sinais + teto 12h,7,88,4.403645906245943,29.753410083002663,15.666666666666666,0.0008,"2024-01-16,2025-03-17"
diego_iforest_estatico,stack diego_iforest_estatico,8,329,17.280129505522055,5.791630502012059,28.35833333333333,0.02915,2025-03-17
diego_iforest_estatico,UNIAO: 4 sinais + stack,9,334,17.224387152278435,112.08114966694576,33.74444444444445,0.0136,
diego_iforest_estatico,UNIAO: 4 sinais(teto 12h) + stack,8,363,18.89665774958702,35.33321964268903,31.9625,0.0606,2025-03-17
nosso_iforest_estatico,4 sinais (sem teto),8,88,4.347903553002324,106.73174183399978,19.708333333333336,0.00035,2024-01-16
nosso_iforest_estatico,4 sinais + teto 12h,7,88,4.403645906245943,29.753410083002663,15.666666666666666,0.0008,"2024-01-16,2025-03-17"
nosso_iforest_estatico,stack nosso_iforest_estatico,8,231,11.9846059473782,5.611396893191029,25.258333333333333,0.0077,2025-03-17
nosso_iforest_estatico,UNIAO: 4 sinais + stack,9,258,13.15519536549421,111.467983781266,30.988888888888887,0.0063,
nosso_iforest_estatico,UNIAO: 4 sinais(teto 12h) + stack,8,276,14.21430007712298,34.616001364287776,28.8625,0.0284,2025-03-17
