arm,par,tr_det,tr_n,tr_fp,tr_h,tr_lead,tr_quais,te_det,te_n,te_fp,te_h,te_lead,te_quais,tot_det,tot_n,tot_fp,tot_h,tot_lead,tot_quais
base,,5,6,4.100992477631573,79.95268261268708,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.44143688337974,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.73174183399978,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
rampa,40,5,6,4.100992477631573,79.79931216230412,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.2273877147391,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.55150822517871,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
rampa,60,5,6,4.100992477631573,79.87933152772132,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.29454039509696,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.62583136283688,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
rampa,80,5,6,4.100992477631573,79.90600464952705,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.3197226502311,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.65184446101725,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
rampa,100,5,6,4.100992477631573,79.93934605178424,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.3365108203206,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.67785755919762,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
rampa,150,5,6,4.100992477631573,79.95268261268708,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.35329899041008,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.69272218672924,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
rampa,200,5,6,4.100992477631573,79.95268261268708,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.3700871604995,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.70015450049506,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
rampa,300,5,6,4.100992477631573,79.95268261268708,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.386875330589,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.70758681426086,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
rampa,500,5,6,4.100992477631573,79.95268261268708,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.4078605432008,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.71687720646814,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
volat,0.15,5,6,5.101234545346591,75.95171434182701,20.48,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,6.7992088862314,131.14918473886348,17.3,"2025-11-04,2025-12-09,2026-02-26",8,9,5.8529470905800505,100.38826203487586,19.2875,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
