portao,det,eps,fp,fp_mes,h_mes,lead,duty,p,quais,supr
nenhum,8,88,78,4.347903553002324,106.73174183399978,19.708333333333336,9.965558330476796,0.00035,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26",
vol>0.05,1,7,6,0.3344541194617172,2.328172287141842,45.266666666666666,0.19032695101447855,0.15395,2025-04-29,99.49857335210078
vol>0.08,4,134,125,6.967794155452442,39.70527821543019,24.15,2.5669653787767492,0.07755,"2025-02-27,2025-03-17,2025-04-29,2025-12-09",73.36177296317696
vol>0.1,5,142,135,7.525217687888637,69.90648520282323,20.573333333333334,5.258802213407766,0.0566,"2025-02-27,2025-03-17,2025-04-11,2025-04-29,2025-12-09",45.80137905054737
vol>0.12,7,138,128,7.1350212151833,89.71545946716418,18.652380952380952,7.028059350668429,0.00245,"2025-02-27,2025-03-17,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26",28.187813550736994
vol>0.15,8,117,105,5.8529470905800505,100.38826203487586,19.2875,8.334067871308946,0.0003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26",14.238226018697869
vol>0.18,8,106,94,5.239781204900236,103.38534256094114,19.695833333333333,8.84040938249841,0.0003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26",9.708332590950395
vol>0.22,8,94,83,4.626615319220421,105.37720265017981,19.700000000000003,9.14450810440233,0.0003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26",7.138075590703499
vol>0.3,8,93,82,4.570872965976801,106.15573751714903,19.700000000000003,9.425917764392864,0.00035,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26",4.499349672545491
vol>0.39,8,90,79,4.403645906245943,106.11114363455415,19.708333333333336,9.601227494572582,0.00035,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26",2.8772217400268274
vol>0.6,8,88,78,4.347903553002324,106.47346893063767,19.708333333333336,9.830240112302695,0.00035,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26",1.2889464695236956
vol>1.0,8,88,78,4.347903553002324,106.64441214725143,19.708333333333336,9.926546202438665,0.00035,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26",0.38306959649154065
