variante,tr_det,tr_n,tr_fp,tr_h,tr_eps,te_det,te_n,te_fp,te_h,te_eps,tot_det,tot_n,tot_fp,tot_h,tot_eps,quais
base (4 sinais),5,6,4.100992477631573,79.95268261268708,47,3,3,4.658717199825219,140.44143688337974,41,8,9,4.347903553002324,106.73174183399978,88,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_1h k_tx=1.0,6,6,25.106075899646946,140.4273180267371,276,3,3,24.552698755835614,185.202895384403,207,9,9,24.861089546654313,160.24997518319879,483,"2024-01-16,2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_1h k_tx=1.7,5,6,12.703074259980726,88.17133826907882,140,3,3,8.81378929696663,146.06127682082652,76,8,9,10.981243588993047,113.7998722252907,216,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_1h k_tx=2.5,5,6,5.901428199518604,81.38636290974529,68,3,3,5.917829956534738,141.40675666352365,51,8,9,5.90868944382367,107.95807360535942,119,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_4h k_tx=1.0,5,6,20.404938181386363,128.8211759010171,224,3,3,20.019892831681346,182.6259112756709,171,8,9,20.23447422743389,152.64114396544483,395,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_4h k_tx=1.7,5,6,16.403969910526293,104.27856969951631,182,3,3,12.465216291424234,157.41007980130163,110,8,9,14.660238903071937,127.80049328164657,292,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_4h k_tx=2.5,5,6,13.903364741238747,92.76578350011644,151,3,3,9.821079502334245,148.81033967297563,86,8,9,12.096090653865438,117.57734569676668,237,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+crest_1h k_tx=1.0,6,6,11.602807985494206,102.57148990394933,137,3,3,13.346595221120896,164.1379389646529,114,9,9,12.374802420083537,129.82765686127277,251,"2024-01-16,2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+crest_1h k_tx=1.7,6,6,5.101234545346591,83.97032158467576,61,3,3,5.41418485385093,141.3438010256882,48,9,9,5.239781204900236,109.37021322086443,109,"2024-01-16,2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+crest_1h k_tx=2.5,6,6,4.401065097946078,82.20989554549733,52,3,3,4.658717199825219,140.44143688337974,41,9,9,4.5151306127331825,107.98966093886413,93,"2024-01-16,2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_1h+crest k_tx=1.0,6,6,39.909658501829206,178.66323813525645,420,3,3,38.15111652829842,219.21153094312726,314,9,9,39.131131977020914,196.6144283608947,734,"2024-01-16,2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_1h+crest k_tx=1.7,6,6,13.603292120924241,92.45570845912479,152,3,3,9.191523123979486,147.13991674907436,80,9,9,11.650151827916481,116.66502918201274,232,"2024-01-16,2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_1h+crest k_tx=2.5,6,6,6.1014766130616085,83.62357100120121,72,3,3,6.043741232205689,141.46551525883677,52,9,9,6.075916503554529,109.2308573377554,124,"2024-01-16,2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_1h+4h+crest k_tx=1.0,6,6,55.21336213786898,239.7813626128698,571,3,3,49.98677644136789,271.95156727916657,406,9,9,52.899493228194935,254.02347796649812,977,"2024-01-16,2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_1h+4h+crest k_tx=1.7,6,6,24.90602748610394,118.40198769565237,271,3,3,18.131223696617067,164.8808154911114,155,9,9,21.906744824742475,138.97869318543363,426,"2024-01-16,2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
+kurt_1h+4h+crest k_tx=2.5,6,6,16.103897290211787,97.69697689395147,175,3,3,10.82836970770186,150.14499919508773,94,9,9,13.768361251174024,120.91631265605945,269,"2024-01-16,2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
