evento,detectado_temperatura,lead_h_temperatura,detectado_mancal_spread,lead_h_mancal_spread,detectado_selagem_z,lead_h_selagem_z,detectado_pressao_oleo,lead_h_pressao_oleo,detectado_producao_2sinais_AND,lead_h_producao_2sinais_AND
2024-01-16 09:11:00,False,,False,,False,,False,,False,
2025-02-27 08:38:00,True,33.7,False,,False,,False,,False,
2025-03-17 18:15:30,False,,False,,True,31.4,False,,False,
2025-04-07 21:18:00,True,12.0,True,12.0,True,32.5,False,,True,12.0
2025-04-11 17:03:00,True,20.9,True,5.1,True,28.4,False,,False,
2025-04-29 03:03:30,True,30.1,True,7.6,True,40.5,False,,False,
2025-11-04 06:22:30,True,14.3,True,14.3,False,,False,,True,14.3
2025-11-09 16:15:00,False,,False,,False,,False,,False,
2025-11-28 07:48:00,False,,False,,False,,False,,False,
2025-12-09 08:36:00,True,8.4,False,,False,,False,,False,
2026-02-26 15:34:00,False,,False,,True,19.9,False,,False,
